Id,Date,latitude,longitude,PK_SiteClass,ClassName,SiteName,Description,FK_Site,Elevation
29,x9/21/2020,31.49322011,-109.0241586,caaee950-10ca-4970-a3fa-0e6d263dcc48,Geronimo Pasture,03-05-01-00136-001-C03,From Shapefile,40307715-020c-40d4-8f69-1680294ab4eb,5913
30,x9/21/2020,31.4871256,-108.9890355,caaee950-10ca-4970-a3fa-0e6d263dcc48,Geronimo Pasture,03-05-01-00136-001-C04,From Shapefile,e6e01f57-0c73-4e88-9729-4d1bb1cf3f7c,5640
31,x9/14/2020,31.57227701,-109.339604,b60590a0-c99d-4c3b-b440-0ebf4e2223ef,Main Boss Pasture,03-05-01-00126-261-C01,From Shapefile,6f3734c4-8091-4f44-90f4-23617419b2e8,5301
32,x9/19/2020,31.48560945,-108.9402185,86f223ff-243e-431f-a91e-1071185dbc23,Windy Point Pasture,03-05-01-00137-376-C01,From Shapefile,5e943d96-51ed-46eb-9259-49666ad75f09,
33,x9/19/2020,31.47299498,-108.9304234,86f223ff-243e-431f-a91e-1071185dbc23,Windy Point Pasture,03-05-01-00137-376-C02,From Shapefile,f24e5741-24bd-4a56-b40a-fdf081497c00,
34,x10/17/2020,31.55016248,-110.6259557,b6c9c81d-8444-4203-9432-10ffe562186d,Lampshire Pasture,03-05-03-00334-014-C02,From Shapefile,d8ed3751-b7af-404a-af08-039578c4175b,
35,x9/29/2010,31.63750944,-110.7991883,beb93331-47e4-4289-9eed-11320a4b0642,Williamson Pasture,03-05-02-00250-004-C02,,3230389c-ddba-4d67-ae36-85150d28fb6e,
36,x9/19/2020,31.8502981,-110.0037693,b936ba2a-8758-4f27-b491-11dc77484e8f,Windmill Pasture,03-05-01-00155-554-C03,From Shapefile,5b9b1b43-25aa-4b68-a523-e9dce6cee2af,
37,x9/19/2020,31.85154338,-110.0130675,b936ba2a-8758-4f27-b491-11dc77484e8f,Windmill Pasture,03-05-01-00155-554-C04,From Shapefile,97eb646d-c492-435a-8516-063ff549988b,
38,x9/19/2020,31.85822711,-110.0152477,b936ba2a-8758-4f27-b491-11dc77484e8f,Windmill Pasture,03-05-01-00155-554-C05,From Shapefile,926577af-f6f6-425a-ace0-ec2057c1d28c,
39,x10/16/2020,32.65390016,-110.267935,9ae81848-a38d-417d-ae60-12b326eb16bc,Limestone Pasture,03-05-04-00429-29I-K01,From Shapefile,684f1837-faca-4281-9d72-beb71da6ef69,
40,x9/22/2020,32.05539361,-109.3557408,f62cc3bb-486f-4c18-b9fa-12da59825d2f,Lower Pasture,03-05-01-00148-482-C01,From Shapefile,4d5c58a7-a84d-4fec-bdfc-7ab51558f39d,
41,x10/17/2020,31.90301338,-110.3877666,18514340-3900-443f-b91b-132b1548d2c3,Trask Pasture,03-05-03-00303-001-C01,From Shapefile,5a6f0eb6-0ce6-4cd6-b213-2d5ebfc251e2,
42,x10/17/2020,31.38431336,-110.4064797,4c676d30-e5cf-49d3-b804-134f4202fe23,West Pasture,03-05-03-00326-021-C03,From Shapefile,2c01111b-88f6-4f03-b2b3-828984e4c422,
43,x10/18/2020,31.50005451,-110.6057268,435772a4-e9ab-4ce4-91a6-137eef5ecb47,Meadow Valley Pasture,03-05-03-00338-006-C05,From Shapefile,c32f3252-c102-4df0-a57f-b2d0b47bac55,
44,x11/28/2012,31.77937085,-109.1442682,d057681f-529d-4bad-bcc2-1486c7461279,Lower Horseshoe Pasture,03-05-01-00118-184-C01,From Shapefile,64beba23-bce8-4afd-8025-cf92c636eec8,4730
45,x9/21/2020,31.89086538,-109.9334932,df43ea21-633e-43e5-8176-15786d993972,West Noonan Pasture,03-05-01-00157-577-C04,T1,6b0d2eb2-6deb-4c82-b38f-27501fc22760,
46,x10/18/2011,31.53198721,-110.6276082,0eb1f704-ea9a-4db2-b9e7-176cc27df158,North Redrock Pasture,03-05-03-00338-005-C02,,7b27405c-55d8-41e4-b349-aedb90281a64,
47,x10/18/2011,31.53441028,-110.6081633,0eb1f704-ea9a-4db2-b9e7-176cc27df158,North Redrock Pasture,03-05-03-00338-005-P01,,4eda76f5-acbb-408f-bf2f-c54e79734366,
48,x10/18/2020,31.52481258,-110.6208429,0eb1f704-ea9a-4db2-b9e7-176cc27df158,North Redrock Pasture,03-05-03-00338-005-P02,,f19cadee-ca1c-4936-a17b-99efb6a63999,4790
49,x10/17/2020,32.18895333,-110.457553,e566c1d1-e5b3-42e1-8245-1777e20ef2a3,North Pasture,03-05-05-00519-001-P01,From Shapefile,0223cf73-32fa-45fc-adb5-db3c91881055,
50,x9/19/2020,31.96069336,-110.0189705,12307687-dbb9-403c-b07e-177f67eaa404,Upper Forest Pasture,03-05-01-00153-531-C01,From Shapefile,0a30062c-1f29-437b-a295-916d675fcbce,
51,x9/19/2020,31.42412868,-109.0366541,8ce69c03-46a6-4666-92db-17a30894bbb5,Baker Pasture,03-05-01-00143-433-C02,From Shapefile,c96b2017-77a9-498f-a0ad-1d91263467cb,
52,x11/5/2019,31.46466167,-109.0252744,f3fb66c3-2965-4036-9c77-18e4baed43be,Miller Pasture,03-05-01-00136-005-C02,From Site Notes,0fe7773a-c15b-4f22-b9fd-446c0a5d881c,5688
